"Subject","Session","CP1","CP2","CP3","CP4","CP5","CP6"
"Sub01","Session1",1631983598,1631986344,1631986984,1631990035,1631990937,1631993937
"Sub02","Session1",1632431178,1632433918,1632434910,1632437842,1632438593,1632441555
"Sub03","Session1",1632496553,1632497749,1632498729,1632500224,1632500929,1632501532
"Sub04","Session1",1633544892,1633547636,1633548496,1633551303,1633552240,1633555461
"Sub05","Session1",1634395688,1634398486,1634399129,1634402204,1634403085,1634405785
"Sub06","Session1",1634165446,1634168137,1634169378,1634172078,1634172967,1634174706
"Sub07","Session1",1634837307,1634840007,1634840926,1634843624,1634844501,1634847332
"Sub08","Session1",1635000348,1635003035,1635004141,1635006974,1635008032,1635008805
"Sub09","Session1",1635630197,1635632897,1635633836,1635635405,1635636197,1635637257
"Sub10","Session1",1636406395,1636409095,1636410010,1636412742,1636413664,1636416364
"Sub11","Session1",1636845113,1636847813,1636848614,1636851569,1636852520,1636855197
"Sub12","Session1",1636914128,1636916828,1636917626,1636920327,1636921319,1636923937
"Sub13","Session1",1637099039,1637100715,1637101753,1637103424,1637104412,1637106320
"Sub14","Session1",1639411564,1639414253,1639415092,1639417788,1639418737,1639421420
"Sub15","Session1",1642089026,1642091639,1642092625,1642095032,1642096048,1642098523
"Sub16","Session1",1642110542,1642111827,1642112925,1642114368,1642115415,1642116453
"Sub17","Session1",1646661725,1646664481,1646665359,1646668065,1646668962,1646671663
"Sub01","Session2",1644245192,1644247903,1644248805,1644251608,1644252507,1644255306
"Sub02","Session2",1634337939,1634340664,1634341642,1634344436,1634345558,1634348477
"Sub03","Session2",1633104491,1633107448,1633107978,1633110935,1633111998,1633114974
"Sub04","Session2",1634753449,1634756140,1634757075,1634759934,1634760835,1634763723
"Sub05","Session2",1635612193,1635614892,1635615790,1635618600,1635619560,1635622436
"Sub06","Session2",1640730005,1640732705,1640733538,1640734736,1640735572,1640736639
"Sub07","Session2",1635444220,1635446884,1635447760,1635450462,1635451350,1635454103
"Sub08","Session2",1635533212,1635535959,1635536872,1635539738,1635541130,1635541430
"Sub09","Session2",1637182760,1637185460,1637186388,1637189118,1637190092,1637192362
"Sub10","Session2",1636751626,1636754352,1636755238,1636757959,1636758871,1636761647
"Sub11","Session2",NA,NA,NA,NA,NA,NA
"Sub12","Session2",1637334868,1637337552,1637338428,1637341131,1637342018,1637344654
"Sub13","Session2",1639516780,1639519375,1639520265,1639522747,1639523645,1639525725
"Sub14","Session2",NA,NA,NA,NA,NA,NA
"Sub15","Session2",1642351751,1642354464,1642355374,1642358286,1642359154,1642360950
"Sub16","Session2",1642368049,1642370795,1642371692,1642373892,1642374810,1642375965
"Sub17","Session2",1646936832,1646939600,1646940562,1646943300,1646944095,1646946891
"Sub01","Session3",1644603064,1644605846,1644606657,1644609830,1644610414,1644613171
"Sub02","Session3",1637791508,1637794210,1637795182,1637797915,1637798881,1637801687
"Sub03","Session3",1633706487,1633709171,1633710050,1633712927,1633713713,1633715013
"Sub04","Session3",1636049704,1636052412,1636053393,1636056159,1636057040,1636059912
"Sub05","Session3",1636817324,1636820064,1636820788,1636823753,1636824681,1636827614
"Sub06","Session3",1643411587,1643412440,1643413441,1643414046,1643414949,1643415813
"Sub07","Session3",1636651629,1636654300,1636655216,1636657294,1636657967,1636659690
"Sub08","Session3",1636209001,1636211709,1636212811,1636215574,1636216728,1636219471
"Sub09","Session3",1640798239,1640800910,1640801802,1640803726,1640804695,1640805639
"Sub10","Session3",1637010556,1637013252,1637014137,1637016845,1637017790,1637020591
"Sub11","Session3",NA,NA,NA,NA,NA,NA
"Sub12","Session3",1639688604,1639691246,1639692008,1639694924,1639695840,1639698519
"Sub13","Session3",1642951601,1642953707,1642954597,1642956766,1642957670,1642959177
"Sub14","Session3",NA,NA,NA,NA,NA,NA
"Sub15","Session3",1643728930,1643731666,1643732613,1643735314,1643736217,1643737278
"Sub16","Session3",1643669848,1643672515,1643673407,1643675878,1643676799,1643678444
"Sub17","Session3",1647546495,1647549200,1647550087,1647552740,1647553704,1647556308
"Sub01","Session4",1648761049,1648763760,1648764722,1648767483,1648768378,1648771237
"Sub02","Session4",1639749776,1639752476,1639753393,1639756479,1639757077,1639759896
"Sub03","Session4",1636121746,1636124626,1636125728,1636128508,1636129514,1636132550
"Sub04","Session4",1636729861,1636732594,1636733567,1636736347,1636737256,1636739993
"Sub05","Session4",1638026318,1638029055,1638029949,1638032711,1638033647,1638036324
"Sub06","Session4",1644275361,1644278110,1644279165,1644281777,1644282728,1644285271
"Sub07","Session4",1638567985,1638570176,1638571157,1638573350,1638574315,1638575553
"Sub08","Session4",1637356991,1637359896,1637360881,1637363675,1637364783,1637367609
"Sub09","Session4",1642891576,1642894319,1642895147,1642898033,1642898984,1642900528
"Sub10","Session4",1638220275,1638222867,1638223854,1638226644,1638227582,1638230460
"Sub11","Session4",NA,NA,NA,NA,NA,NA
"Sub12","Session4",1640099563,1640102376,1640103167,1640105991,1640106797,1640109608
"Sub13","Session4",1643749968,1643751784,1643752685,1643754645,1643755549,1643757436
"Sub14","Session4",NA,NA,NA,NA,NA,NA
"Sub15","Session4",1644075880,1644077877,1644078751,1644079959,1644080837,1644081942
"Sub16","Session4",1644088740,1644090916,1644091823,1644093171,1644094015,1644095336
"Sub17","Session4",1648852915,1648855657,1648856538,1648859215,1648860128,1648861449
